,Date,PitcherID,Pitcher,G,GS,IP,H,K,BB,R,HR
258,3/30/2024,622554,Seranthony Dom\xc3\xadnguez,1,0,1,2,2,0,2,1
259,3/30/2024,666808,Camilo Doval,1,0,0.2,1,0,1,2,1
260,3/30/2024,668674,Lucas Erceg,1,0,1,0,1,1,0,0
261,3/30/2024,656412,Alex Faedo,1,0,1.2,1,1,0,0,0
262,3/30/2024,664126,Pete Fairbanks,1,0,1,0,2,0,0,0
263,3/30/2024,640448,Kyle Finnegan,1,0,1,0,1,1,0,0
264,3/30/2024,666818,Luis Fr\xc3\xadas,1,0,1,1,1,1,2,0
265,3/30/2024,608331,Max Fried,1,1,0.2,2,1,3,3,0
266,3/30/2024,606149,Giovanny Gallegos,1,0,1,1,2,1,0,0
267,3/30/2024,665620,Deivi Garc\xc3\xada,1,0,1,1,2,0,0,0
268,3/30/2024,472610,Luis Garc\xc3\xada,1,0,0,3,0,0,3,0
269,3/30/2024,554340,Yimi Garc\xc3\xada,1,0,0.2,0,0,0,0,0
270,3/30/2024,669302,Logan Gilbert,1,1,7,4,8,1,1,0
271,3/30/2024,596295,Austin Gomber,1,1,4.2,6,3,3,4,2
272,3/30/2024,668881,Hunter Greene,1,1,4.2,5,7,4,2,0
273,3/30/2024,623352,Josh Hader,1,0,1,0,2,1,0,0
274,3/30/2024,669084,DL Hall,1,1,4,6,1,2,2,1
275,3/30/2024,641656,Ian Hamilton,1,0,2,0,2,0,0,0
276,3/30/2024,640451,Hunter Harvey,1,0,1,2,1,1,2,0
277,3/30/2024,664854,Ryan Helsley,1,0,1,4,2,0,2,1
278,3/30/2024,543294,Kyle Hendricks,1,1,3.2,9,2,2,5,2
279,3/30/2024,674072,Tommy Henry,1,1,4,6,4,2,5,1
280,3/30/2024,669796,Jose Hernandez,1,0,1,0,0,0,0,0
281,3/30/2024,663855,Jordan Hicks,1,1,5,3,6,1,0,0
282,3/30/2024,657612,Tim Hill,1,0,0.2,1,0,0,0,0
283,3/30/2024,605280,Clay Holmes,1,0,1,0,0,0,0,0
284,3/30/2024,663947,Tyler Holton,1,0,1,1,1,0,0,0
285,3/30/2024,543339,Daniel Hudson,1,0,1,0,1,0,0,0
286,3/30/2024,669165,Kyle Hurt,1,0,2.2,2,3,0,0,0
287,3/30/2024,628452,Raisel Iglesias,1,0,1,1,1,0,0,0
288,3/30/2024,686826,Bryce Jarvis,1,0,3,3,4,2,2,1
289,3/30/2024,643377,Griffin Jax,1,0,1,0,1,1,0,0
290,3/30/2024,666204,Dany Jim\xc3\xa9nez,1,0,1.1,1,0,1,0,0
291,3/30/2024,572955,Pierce Johnson,1,0,1,1,0,1,0,0
292,3/30/2024,683003,Jared Jones,1,1,5.2,3,10,2,3,0
293,3/30/2024,523260,Joe Kelly,1,0,0.2,3,0,1,4,0
294,3/30/2024,547184,Michael Kelly,1,0,1,1,2,0,1,1
