PitcherID,Pitcher,GS,IP,K,BB,GS2,GSD,GSQ
605483,Blake Snell,6,22.5,31,14,25.333333333333332,9.892758294159757,2.560795743719828
687792,DJ Herz,5,20.4,27,7,31.4,22.76620302114518,1.3792374587381029
607259,Nick Martinez,5,25.2,17,4,25.6,7.436396977031283,3.442527352839075
688107,Robert Gasser,5,28.0,16,1,41.2,17.049926686059386,2.4164326779004015
657649,Jared Koenig,5,3.6,6,1,42.6,2.302172886644268,18.504257541706753
676272,Bobby Miller,5,19.3,21,12,29.2,19.43450539633052,1.5024822811036564
689017,Landon Knack,5,25.2,18,8,42.4,6.066300355241241,6.989433017995341
542888,Shawn Armstrong,5,8.0,12,2,41.4,6.107372593840988,6.778692369571499
800049,Adam Mazur,5,21.4,11,17,25.2,16.828547174370104,1.4974554689058142
669467,Andre Pallante,5,22.2,20,10,34.0,19.710403344427025,1.7249773840682594
680885,Spencer Schwellenbach,5,26.2,25,7,35.6,13.069047402163633,2.723993486633638
681035,Christian Scott,5,27.2,25,6,39.0,11.726039399558575,3.3259311751475225
607536,Kyle Freeland,5,21.2,13,9,21.0,28.74021572639983,0.730683450671182
686973,Louie Varland,5,21.2,21,10,24.8,17.123083834403193,1.448337241109138
669461,Matthew Liberatore,5,18.5,18,5,34.6,18.51485889765299,1.8687693053056982
656849,David Peterson,5,26.3,20,13,34.0,7.314369419163897,4.64838430376771
663687,Hogan Harris,5,27.2,20,10,37.4,8.018728078691781,4.66408133970564
666201,Alek Manoah,5,23.4,26,8,38.2,22.99347733597509,1.6613407116214267
666159,Matt Manning,5,25.8,23,12,32.2,13.046072205840346,2.4681758227265522
641585,J.P. France,5,24.4,22,12,24.2,15.642889758609181,1.5470287378763472
665795,Edward Cabrera,5,21.1,31,14,31.4,13.221195104830729,2.3749744067030023
665622,Luis Medina,5,22.6,17,12,31.8,17.412639087743134,1.8262596404691016
669713,Hayden Wesneski,4,20.1,21,5,41.0,10.519822558706334,3.897404140725539
676477,Garrett Whitlock,4,18.1,17,7,42.75,7.544313531837517,5.666519534162
605182,Mike Clevinger,4,14.600000000000001,15,9,26.0,13.711309200802088,1.8962448894726294
605156,Aaron Brooks,4,21.2,10,6,24.25,12.971121771072847,1.8695376103923718
669084,DL Hall,4,15.4,13,10,20.25,12.632629707758133,1.6029916548225724
700249,Cade Povich,4,20.5,14,10,35.5,16.380883167074153,2.167160319619127
547001,Cody Poteet,4,20.3,13,7,41.25,3.685557397915997,11.19233688324183
518876,Merrill Kelly,4,24.2,21,6,43.5,7.14142842854285,6.091218365521843
607644,John Means,4,20.2,16,2,43.25,14.72809107341025,2.9365652197848324
640462,A.J. Puk,4,13.2,12,17,23.5,10.785793124908958,2.1787920209343308
621244,Jos\xc3\xa9 Berr\xc3\xados,3,18.0,19,6,32.0,13.45362404707371,2.3785412679909324
592351,Jon Gray,3,14.0,5,4,19.0,18.083141320025124,1.050702400857729
692230,Carlos Rodriguez,3,11.4,9,3,25.333333333333332,8.082903768654761,3.1341871756008253
683004,Jack Leiter,3,8.4,7,6,13.333333333333334,3.2145502536643185,4.1478067789217015
696131,Mason Black,3,11.2,8,5,22.333333333333332,10.066445913694333,2.2185916980839484
689672,Drew Thorpe,3,14.1,9,11,32.333333333333336,28.112867753634337,1.1501257579512993
663738,Daniel Lynch IV,3,14.0,12,6,29.333333333333332,23.501772982763097,1.248132783634974
571945,Miles Mikolas,3,16.2,8,1,29.666666666666668,30.924639582917266,0.9593213394491589
663567,Peter Lambert,3,9.1,10,3,16.0,9.16515138991168,1.7457431218879391
676974,Max Meyer,3,17.0,14,3,44.333333333333336,5.507570547286101,8.049526184495074
669721,Davis Daniel,3,16.2,14,1,31.333333333333332,28.448784391135824,1.101394453363578
594835,Marco Gonzales,3,17.0,11,5,40.333333333333336,6.658328118479393,6.057576709293282
675540,Xzavion Curry,3,12.2,8,3,30.666666666666668,20.132891827388665,1.5232122106248005
670102,Bowden Francis,3,12.1,15,5,23.666666666666668,23.007245235649865,1.0286614683445467
670174,Josh Winckowski,3,10.2,2,2,40.0,4.58257569495584,8.728715609439696
671096,Andrew Abbott,3,18.1,12,12,43.666666666666664,15.011106998930272,2.9089571255323445
680730,Mitchell Parker,3,18.0,16,2,32.666666666666664,12.055427546683418,2.7097061916857212
608718,Brent Suter,3,1.4,0,1,41.0,1.0,41.0
669387,Carmen Mlodzinski,3,3.4,3,1,41.0,6.0,6.833333333333333
669330,Tyler Wells,3,15.1,13,3,29.333333333333332,9.291573243177568,3.156982414670371
674003,Cody Bradford,3,18.4,17,2,52.666666666666664,10.408329997330664,5.060049660240753
622491,Luis Castillo,2,11.2,11,2,44.5,10.606601717798213,4.195500235040182
650911,Cristopher S\xc3\xa1nchez,2,13.0,12,3,39.0,43.840620433565945,0.8895859505250114
650644,Aaron Civale,2,10.2,10,7,22.5,7.7781745930520225,2.892709559399513
621107,Zach Eflin,2,11.0,9,2,37.5,23.33452377915607,1.6070608663330626
615698,Cal Quantrill,2,10.1,10,4,24.5,12.020815280171307,2.0381313104788723
641793,Zack Littell,2,9.0,9,1,30.5,28.991378028648448,1.052036918350717
663687,Hogan Harris,2,8.1,7,4,29.0,11.313708498984761,2.5632620818012346
608379,Michael Wacha,2,11.1,14,5,43.5,4.949747468305833,8.788327137604233
663855,Jordan Hicks,2,10.0,13,4,32.5,0.7071067811865476,45.961940777125584
608331,Max Fried,2,12.0,8,4,26.0,21.213203435596427,1.2256517540566823
641927,Bailey Ober,2,12.0,17,3,48.5,7.7781745930520225,6.235396161372283
607625,Seth Lugo,2,12.0,15,3,47.5,14.849242404917497,3.198816391082001
650633,Michael King,2,11.1,11,3,44.0,1.4142135623730951,31.11269837220809
607536,Kyle Freeland,2,13.2,8,3,40.5,9.192388155425117,4.405819175085412
656288,Griffin Canning,2,10.1,8,4,25.0,4.242640687119285,5.892556509887896
657006,Justin Steele,2,15.0,12,2,51.5,16.263455967290593,3.16660862879193
